0.9860156,0.9860163,0.986014,0.9860171,0.9860191,0.9860131,0.986013,0.986019,0.9860171,0.9860129,0.9860146,0.9860139,
0.9860153,0.9860157,0.9860132,0.986017,0.9860197,0.9860137,0.9860135,0.9860198,0.9860175,0.9860131,0.9860147,0.986014,
0.9860154,0.9860158,0.9860128,0.9860163,0.9860189,0.9860132,0.9860134,0.9860201,0.9860182,0.9860136,0.9860154,0.9860143,
0.9860159,0.9860162,0.9860131,0.9860163,0.9860188,0.9860129,0.9860128,0.9860193,0.9860178,0.9860142,0.9860163,0.9860148,
0.9860164,0.9860168,0.9860131,0.9860165,0.9860194,0.9860136,0.9860133,0.9860193,0.9860176,0.9860146,0.9860169,0.9860154,
0.9860171,0.9860171,0.9860124,0.9860146,0.9860181,0.9860138,0.986014,0.9860188,0.9860161,0.9860135,0.986017,0.9860156,
0.9860174,0.9860177,0.9860126,0.986015,0.9860195,0.9860163,0.986016,0.9860189,0.9860148,0.9860127,0.9860169,0.9860158,
0.9860177,0.9860185,0.9860137,0.9860159,0.9860198,0.9860163,0.986016,0.9860189,0.9860152,0.9860135,0.9860174,0.9860158,
0.9860178,0.9860193,0.9860154,0.986017,0.9860197,0.9860152,0.9860148,0.9860185,0.986016,0.9860145,0.9860178,0.9860157,
0.9860175,0.9860196,0.9860164,0.986018,0.9860201,0.9860155,0.9860156,0.9860199,0.9860172,0.9860149,0.9860173,0.9860153,
0.9860168,0.9860186,0.9860157,0.9860178,0.9860197,0.9860149,0.9860153,0.9860203,0.9860176,0.9860141,0.9860161,0.9860146,
0.986016,0.9860173,0.9860148,0.9860176,0.9860195,0.9860137,0.9860136,0.986019,0.9860169,0.9860132,0.9860151,0.9860141,
0.9860155,0.9860162,0.9860139,0.986017,0.986019,0.9860131,0.9860131,0.986019,0.9860169,0.9860128,0.9860146,0.9860139,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
